,チーム名,Aレート,Hレート,BestPerf
comavius,クリエイティブフォース,862,471,471
emi1y,クリエイティブフォース,347,0,0
eoeo,クリエイティブフォース,1117,305,305
Michirakara,クリエイティブフォース,1090,930,930
soso15,クリエイティブフォース,1089,150,150
tmikada,クリエイティブフォース,579,871,871
jaku,writer解を超え隊,1361,1551,1551
yas_yasyu,writer解を超え隊,946,1035,1035
edomondo,writer解を超え隊,809,1110,1110
yukihira_pot,writer解を超え隊,1367,948,948
bio4eta,エリマキシュリンプキャッツ,1325,1428,1428
berry,エリマキシュリンプキャッツ,1494,1574,1574
hiraku,エリマキシュリンプキャッツ,1272,1470,1470
hiryuzu,エリマキシュリンプキャッツ,1085,1051,1051
moharan,エリマキシュリンプキャッツ,1292,863,863
r3yohei,エリマキシュリンプキャッツ,708,1327,1327
fujikawahiroaki,３代目バベルクライマーズ,508,1342,1342
hotpepsi,３代目バベルクライマーズ,1627,1593,1608
keroru,３代目バベルクライマーズ,1607,1401,1471
motoshira,３代目バベルクライマーズ,1429,1344,1344
ococonomy1,３代目バベルクライマーズ,1678,1244,1244
nephrologist,３代目バベルクライマーズ,1618,1420,1420
jin_matakich,山魚ブルー,2070,1229,1229
bird01,山魚ブルー,1334,1506,1506
brthyyjp,山魚ブルー,1668,1253,1253
PrussianBlue,山魚ブルー,2139,1398,1398
yamake,山魚ブルー,2066,1363,1581
ngtkana,山魚ブルー,2263,969,2333
highjump,星のローミィ新作転売ヤー大冒険,1411,2438,2438
komori3,星のローミィ新作転売ヤー大冒険,1634,2399,2399
ssaattoo,星のローミィ新作転売ヤー大冒険,1435,2017,2017
tabae326,星のローミィ新作転売ヤー大冒険,2014,1705,1705
Jirotech,星のローミィ新作転売ヤー大冒険,2411,2756,2756
ainem,運営,941,1441,1441
