,チーム名,Aレート,Hレート,BestPerf
comavius,クリエイティブフォース,862,471,471
emi1,クリエイティブフォース,0,0,0
eoeo,クリエイティブフォース,1117,305,305
Michirakara,クリエイティブフォース,1090,930,930
soso,クリエイティブフォース,0,0,0
tmikada,クリエイティブフォース,579,871,871
jakujaku12,writer解を超え隊,0,0,0
yas_yasyu,writer解を超え隊,946,1035,1035
Edomonndo365,writer解を超え隊,0,0,0
ゆきひら鍋,writer解を超え隊,0,0,0
dna4_,エリマキシュリンプキャッツ,0,0,0
tanaka,エリマキシュリンプキャッツ,0,0,0
hiraku,エリマキシュリンプキャッツ,1272,1470,1470
lud404Qe8lItbFm,エリマキシュリンプキャッツ,0,0,0
moharan627,エリマキシュリンプキャッツ,0,0,0
r3yohei,エリマキシュリンプキャッツ,708,1327,1327
fujikawahiroaki,３代目バベルクライマーズ,508,1342,1342
hotpepsi,３代目バベルクライマーズ,1627,1593,1608
keroru,３代目バベルクライマーズ,1607,1401,1471
motoshira,３代目バベルクライマーズ,1429,1344,1344
ococonomy1,３代目バベルクライマーズ,1678,1244,1244
nephrologist,３代目バベルクライマーズ,1618,1420,1420
37kt,山魚ブルー,0,0,0
bird01,山魚ブルー,1334,1506,1506
brthyyjp,山魚ブルー,1668,1253,1253
prussian_coder,山魚ブルー,0,0,0
yamake,山魚ブルー,2066,1363,1581
ながたかな,山魚ブルー,0,0,0
highjump,星のローミィ新作転売ヤー大冒険,1411,2438,2438
komori3,星のローミィ新作転売ヤー大冒険,1634,2399,2399
ssaattoo,星のローミィ新作転売ヤー大冒険,1435,2017,2017
tabae326,星のローミィ新作転売ヤー大冒険,2014,1705,1705
Jiro_tech15,星のローミィ新作転売ヤー大冒険,0,0,0
ainem-m,運営,0,0,0
